frame.number,frame.time_relative,usb.endpoint_address,usb.transfer_type,usb.urb_type,usb.urb_id,usb.urb_status,usb.data_len,usb.setup.bRequest,usb.setup.wValue,usb.setup.wIndex,usb.setup.wLength,usb.capdata
"27154","13.542131000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27155","13.543124000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27156","13.543125000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27157","13.544124000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27158","13.544125000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27159","13.545126000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27160","13.545127000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27161","13.546137000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27162","13.546138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27163","13.547136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27164","13.547137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27165","13.548136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27166","13.548137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27167","13.549136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27168","13.549137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27169","13.550136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27170","13.550137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27171","13.551141000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27172","13.551142000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27173","13.552137000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27174","13.552138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27175","13.553136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27176","13.553137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27177","13.554139000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27178","13.554140000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27179","13.555135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27180","13.555137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27181","13.556136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27182","13.556137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27183","13.557136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27184","13.557137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27185","13.558109000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27186","13.558110000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27187","13.559113000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27188","13.559115000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27189","13.560124000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27190","13.560125000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
